Date,State,County,Latitude,Longitude,StateAbbr,county_fips,population,median_income,poverty_rate,file
2020-01-01,Arkansas,Scott County,34.86076,-94.06328,AR,127.0,10269.0,42635.0,0.1737,2020 ACS 5yr
2020-01-01,Arkansas,Woodruff County,35.18631,-91.24308,AR,147.0,6477.0,40331.0,0.2242,2020 ACS 5yr
2020-01-01,Arkansas,Crawford County,35.58889,-94.24271,AR,33.0,63118.0,48980.0,0.1779,2020 ACS 5yr
2020-01-01,Arkansas,Nevada County,33.66396,-93.30711,AR,99.0,8249.0,39946.0,0.2134,2020 ACS 5yr
2020-01-01,Arkansas,Conway County,35.26226,-92.7014,,,,,,2020 ACS 5yr
2020-01-01,Arkansas,Drew County,33.5894,-91.71999,AR,43.0,18263.0,42924.0,0.2039,2020 ACS 5yr
2020-01-01,Arkansas,Fulton County,36.38163,-91.81817,AR,49.0,12301.0,35274.0,0.2081,2020 ACS 5yr
2020-01-01,Arkansas,Cleburne County,35.53813,-92.02665,AR,23.0,25063.0,45563.0,0.1428,2020 ACS 5yr
2020-01-01,Arkansas,Greene County,36.11769,-90.55908,AR,55.0,45197.0,50083.0,0.1652,2020 ACS 5yr
2020-01-01,Arkansas,Craighead County,35.8308,-90.63289,AR,31.0,109081.0,49730.0,0.1767,2020 ACS 5yr
2020-01-01,Arkansas,Sharp County,36.16121,-91.47977,AR,135.0,17217.0,35573.0,0.1808,2020 ACS 5yr
2020-01-01,Arkansas,Miller County,33.31218,-93.89155,AR,91.0,43515.0,45391.0,0.1774,2020 ACS 5yr
2020-01-01,Arkansas,Calhoun County,33.55806,-92.50298,AR,13.0,5160.0,50441.0,0.128,2020 ACS 5yr
2020-01-01,Arkansas,Marion County,36.26831,-92.68416,AR,89.0,16586.0,38426.0,0.1859,2020 ACS 5yr
2020-01-01,Arkansas,Arkansas County,34.2904,-91.37468,AR,1.0,17761.0,51000.0,0.1597,2020 ACS 5yr
2020-01-01,Arkansas,Izard County,36.09467,-91.91348,AR,65.0,13596.0,42818.0,0.1525,2020 ACS 5yr
2020-01-01,Arkansas,Lincoln County,33.95744,-91.73326,AR,79.0,13278.0,46554.0,0.1971,2020 ACS 5yr
2020-01-01,Arkansas,Boone County,36.30863,-93.0915,AR,9.0,37525.0,46392.0,0.1366,2020 ACS 5yr
2020-01-01,Arkansas,Cleveland County,33.89833,-92.1851,AR,25.0,8063.0,46349.0,0.1471,2020 ACS 5yr
2020-01-01,Arkansas,Clay County,36.3684,-90.41717,AR,21.0,14710.0,37933.0,0.2043,2020 ACS 5yr
2020-01-01,Arkansas,Desha County,33.83234,-91.25494,AR,41.0,11538.0,31855.0,0.2555,2020 ACS 5yr
